author,year,volume
"Satoshi Kameyama, Yoshiki Yamagata, Futoshi Nakamura, Masami Kaneko",2001,77
"Arnon Karnieli, Yoram J. Kaufman, Lorraine Remer, Andrew Wald",2001,77
"Pietro Ceccato, Stéphane Flasse, Stefano Tarantola, Stéphane Jacquemoud, Jean-Marie Grégoire",2001,77
"Louis Giglio, Jacqueline D. Kendall",2001,77
"M.J Hansen, S.E Franklin, C.G Woudsma, M Peterson",2001,77
"Helena Mäkelä, Anssi Pekkarinen",2001,77
"Tuomas Häme, Pauline Stenberg, Kaj Andersson, Yrjö Rauste, ... Janne Sarkeala",2001,77
"Philippe Forget, Pierre Broche, Jean-Jacques Naudin",2001,77
C.S. Lin,2001,77
"A.K Varma, R.M Gairola, P.C Pandey, K.P Singh",2001,77
"Mary Pax-Lenney, Curtis E Woodcock, Scott A Macomber, Sucharita Gopal, Conghe Song",2001,77
"Hector Franco-Lopez, Alan R. Ek, Marvin E. Bauer",2001,77
Dake Chen,2001,77
"Elijah W Ramsey, Michael E Hodgson, Sijan K Sapkota, Gene A Nelson",2001,77
"Philip N Slater, Stuart F Biggar, James M Palmer, Kurtis J Thome",2001,77
"P.M Teillet, G Fedosejevs, R.P Gauthier, N.T O'Neill, ... A Meygret",2001,77
"Nadine L Chrien, Carol J Bruegge, Barbara J Gaitley",2001,77
"Wedad A Abdou, James E Conel, Stuart H Pilorz, Mark C Helmlinger, ... John V Martonchik",2001,77
"Carol Bruegge, Nadine Chrien, David Haner",2001,77
"Steven W. Brown, B.Carol Johnson, Howard W. Yoon, James J. Butler, ... Shoichi Machida",2001,77
"Eero Muinonen, Matti Maltamo, Harri Hyppänen, Vesa Vainikainen",2001,78
"Cynthia Hall-Atkinson, Laurence C. Smith",2001,78
"Lars Eklundh, Lars Harrie, Andres Kuusk",2001,78
"Lee C. Sanders, John R. Schott, Rolando Raqueño",2001,78
"C.V.M Barton, P.R.J North",2001,78
"Ralf Bennartz, Jürgen Fischer",2001,78
"Tomoaki Miura, Alfredo R. Huete, Hiroki Yoshioka, Brent N. Holben",2001,78
"Yujie Wang, Yuhong Tian, Yu Zhang, Nazmi El-Saleous, ... Ranga B. Myneni",2001,78
Lee F Johnson,2001,78
"Merja Halme, Erkki Tomppo",2001,78
"Erik Næsset, Kjell-Olav Bjerknes",2001,78
"Fred Prata, Gregg Bluth, Bill Rose, Dave Schneider, Andrew Tupper",2001,78
"James J Simpson, Gary L Hufford, David Pieri, Jared S Berg",2001,78
"A.J Tatem, H.G Lewis, P.M Atkinson, M.S Nixon",2002,79
"Ge Chen, Robert Ezraty, Chaoyang Fang, Lixin Fang",2002,79
Ole Aarup Mikkelsen,2002,79
"Thierry Castel, Francisco Guerra, Yves Caraglio, François Houllier",2002,79
"Raimundo Almeida-Filho, Yosio E Shimabukuro",2002,79
"Sampsa Koponen, Jouni Pulliainen, Kari Kallio, Martti Hallikainen",2002,79
"D Riaño, E Chuvieco, S Ustin, R Zomer, ... J Salas",2002,79
"C Bacour, S Jacquemoud, Y Tourbier, M Dechambre, J.-P Frangi",2002,79
"Roselyne Lacaze, Jing M. Chen, Jean-Louis Roujean, Sylvain G. Leblanc",2002,79
"Jan Verhoeye, Robert De Wulf",2002,79
"Erik Næsset, Tonje Økland",2002,79
"Richard D Hedger, Nils R.B Olsen, Tim J Malthus, Peter M Atkinson",2002,79
"M.F. Buongiorno, V.J. Realmuto, Fawzi Doumaz",2002,79
